QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
207,1,2,4,0,1,1,4,4,3,3,3,2,4,3,3,4,3,3,4,3,4,75,20,1,3,4,2,1,2,2
208,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,0,5,5
209,1,2,1,1,1,2,4,4,3,3,4,3,4,2,3,3,1,1,4,1,0,100,0,0,4,4,2,1,4,3
210,1,2,1,3,1,1,1,3,1,1,2,1,3,3,2,4,2,2,3,2,0,90,10,0,3,4,3,1,4,5
211,1,3,3,2,2,1,1,3,4,3,4,3,1,4,1,4,1,1,3,2,60,35,5,0,3,2, ,0,2,2
212,1,2,2,0,1,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,3,95,2,0,2,2,2,0,2,4
213,0, , , , , , , , , , , , , , , , , , , , , , , ,2,3,2,0,4,5
214,1,2,1,0,1,3,4,4,4,4,4,4,4,3,4,4,4,1,3,2,10,70,20,0,3,4,2,1,4,3
215,0, , , , , , , , , , , , , , , , , , , , , , , ,4,3,1,0,3,5
216,1,3,1,1,1,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,5,90,5,0,3,3,2,1,4,3
217,1,2,1,1,1,3,3,3,3,3,3,2,4,2,3,3,3,2,3,2,0,100,0,0,4,3,2,1,4,5
218,1,3,1,1,1,3,3,3,2,3,3,2,3,3,4,3,2,3,3,3,0,98,2,0,3,3,2,1,4,3
219,1,2,.3,1,2,3,4,4,4,4,4,3,4,2,3,2,3,4,4,3,0,50,50,0,3,4,1,1,4,3
220,1,1,1,1,4,4,4,1,2,2,1, ,3,1,1,4,1,3,3,2,0,100,0,0,3,4,2,0,4,3
221,1,1,1,1,1,1,3,3,2,4,4,3,4,3,2,1,4,1,3,2,0,75,25,0,3,4,2,1,3,4
222,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,1,4,3
223,1,3,2,0,1,2,3,4,4,4,4,3,4,3,1,3,3,2,2,2,0,80,20,0,3,4,1,0,2,3
224,1,2,1,3,1,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,15,50,25,10,3,4,2,1,4,3
